País,Proporción de la población en pobreza extrema a $2.15 al día (PPP 2017) (%),"Esperanza de vida al nacer, total (años)","Población, total",Crecimiento de la población (anual %),Migración neta,Índice de Capital Humano (HCI) (escala 0-1),PIB (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,PIB per cápita (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,Crecimiento del PIB (anual %),"Desempleo, total (% de la fuerza laboral total) (estimación OIT modelada)","Inflación, precios al consumidor (anual %)","Remesas personales, recibidas (% del PIB)",Emisiones de CO2 (toneladas métricas per cápita),Superficie forestal (% del área terrestre),Acceso a la electricidad (% de la población),"Retiros anuales de agua dulce, total (% de recursos internos)","Producción de electricidad a partir de fuentes renovables, excluyendo hidroeléctrica (% del total)",Personas que utilizan servicios de saneamiento gestionados de forma segura (% de la población),Homicidios intencionales (por cada 100.000 habitantes),"Deuda pública del gobierno central, total (% del PIB)",Indicadores de desempeño estadístico (SPI): Puntuación general (escala 0-100),Individuos que utilizan Internet (% de la población),Proporción de escaños ocupados por mujeres en los parlamentos nacionales (%),"Inversión extranjera directa, entradas netas (% del PIB)",Unnamed: 25
afghanistan,,62.0,"41,128,771",2.5,"-183,672",0.4,14.58,363.7,-20.7,11.7,2.3,2.1,0.2,1.9,97.7,43,,,4.0,,49.8,18.0,27.0,0.1,
albania,0.0,76.0,"2,775,634",-1.3,"-10,612",0.6,18.88,"6,802.80",4.8,11.8,6.7,9.2,1.5,28.8,100.0,3,0.0,48.0,2.0,82.4,75.4,79.0,36.0,7.6,
algeria,0.5,76.0,"44,903,225",1.6,"-18,797",0.5,191.91,"4,273.90",3.1,11.6,9.3,0.9,3.7,0.8,99.8,87,0.1,18.0,2.0,,55.1,71.0,8.0,0,
american-samoa,,,"44,273",-1.7,"-1,646",,"709,000,000","15,743.30",-1.9,,,,,85.7,,,,,0.0,,,,,,
andorra,,,"79,824",1,"1,377",,3.35,"41,992.80",8.8,,,1.6,5.8,34.0,100.0,,,100.0,3.0,,,94.0,46.0,,
angola,31.1,62.0,"35,588,987",3.1,"29,089",0.4,106.71,"2,998.50",3,10.2,25.8,0.0,0.6,53.4,48.2,0,0.0,,4.0,,54.9,33.0,34.0,-5.8,
antigua-and-barbuda,,78.0,"93,763",0.6,0,0.6,2,"18,745.20",8.5,,7.5,2.0,5.1,18.5,100.0,8,,,17.0,,,96.0,11.0,15.7,
argentina,1.0,75.0,"46,234,830",0.9,"2,344",0.6,632.77,"13,686.00",5.2,6.5,,0.2,3.4,10.4,100.0,13,1.9,51.0,5.0,,64.6,87.0,45.0,2.4,
armenia,0.5,72.0,"2,780,469",-0.4,"-12,825",0.6,19.5,"7,014.20",12.6,12.6,8.6,10.4,2.4,11.5,100.0,41,0.1,69.0,2.0,60.2,82.2,79.0,36.0,5.1,
aruba,,75.0,"106,445",-0.1,501,,3.13,"29,342.10",17.2,,4.3,1.1,,2.3,100.0,,,,2.0,,,97.0,,4.3,
australia,0.5,83.0,"25,978,935",1.1,"117,929",0.8,1.68,"64,491.40",3.6,3.7,6.6,0.1,14.8,17.4,100.0,2,8.3,74.0,1.0,70.2,88.2,96.0,38.0,4,
austria,0.7,81.0,"9,042,528",1,"20,314",0.7,471.4,"52,131.40",5,4.7,8.5,0.6,6.6,47.3,100.0,6,16.5,100.0,1.0,94.3,89.1,93.0,41.0,2.6,
azerbaijan,0.0,69.0,"10,175,016",0.4,"1,084",0.6,78.72,"7,736.70",4.6,5.5,13.9,5.0,3.4,13.7,100.0,155,0.4,21.0,2.0,16.8,68.1,86.0,18.0,-5.7,
bahamas-the,,72.0,"409,984",0.5,485,,12.9,"31,458.30",14.4,10.1,5.6,,6.0,50.9,100.0,,,,29.0,86.2,50.1,94.0,18.0,3.3,
bahrain,,79.0,"1,472,233",0.6,"-9,150",0.7,44,"30,152.00",4.9,1.4,3.6,,22.0,0.9,100.0,"3,878",0.0,91.0,0.0,29.4,54.5,100.0,20.0,4.5,
bangladesh,13.5,72.0,"171,186,372",1.1,"-174,500",0.5,460.2,"2,688.30",7.1,4.7,7.7,4.7,0.5,14.5,99.0,34,0.3,39.0,2.0,31.2,58.1,39.0,21.0,0.3,
barbados,,78.0,"281,635",0.2,-28,,5.64,"20,018.50",10,8.2,4.1,0.0,3.9,14.7,100.0,88,,,11.0,146.9,,86.0,27.0,4.9,
belarus,0.0,72.0,"9,208,701",-1,"12,961",0.7,72.79,"7,904.90",-4.7,4.2,15.2,2.0,5.8,43.2,100.0,4,0.5,74.0,2.0,33.2,77.1,87.0,40.0,2.2,
belgium,0.1,82.0,"11,669,446",0.7,"52,356",0.8,578.6,"49,582.80",3.2,5.6,9.6,2.3,7.4,22.8,100.0,35,20.3,89.0,1.0,109.2,82.4,93.0,43.0,1.7,
belize,,70.0,"405,272",1.3,577,,2.82,"6,968.40",12.1,9.7,3.2,5.0,1.7,56.0,97.7,1,,,31.0,61.0,58.8,62.0,13.0,4.7,
benin,19.9,60.0,"13,352,864",2.7,"1,732",0.4,17.4,"1,303.20",6.3,1.7,1.4,1.2,0.6,27.8,42.0,1,1.5,,1.0,,48.0,34.0,7.0,2,
bermuda,,79.0,"63,532",-0.4,291,,7.55,"118,845.60",2.9,,,15.9,,18.5,100.0,,,,11.0,,,98.0,,0.7,
bhutan,0.9,72.0,"782,455",0.6,291,0.5,3,"3,266.40",4.1,3.6,5.6,2.9,1.3,71.4,100.0,0,,65.0,2.0,117.3,52.0,86.0,17.0,0.3,
bolivia,2.0,64.0,"12,224,110",1.2,"-4,666",,43.07,"3,523.30",3.1,4.4,1.7,3.4,1.5,46.9,98.6,1,2.5,53.0,3.0,68.3,62.7,66.0,46.0,-0.1,
bosnia-and-herzegovina,0.1,75.0,"3,233,526",-1.2,"-25,865",0.6,24.53,"7,585.40",3.9,14.1,14.0,10.1,6.3,42.7,100.0,1,0.0,40.0,1.0,47.0,61.2,76.0,17.0,2.6,
botswana,15.4,61.0,"2,630,296",1.6,"1,816",0.4,20.35,"7,737.70",5.8,20.7,11.7,0.3,2.3,26.9,73.7,9,0.0,,11.0,19.6,57.3,74.0,11.0,0.3,
brazil,5.8,73.0,"215,313,498",0.5,"20,376",0.6,1.92,"8,917.70",2.9,9.5,9.3,0.3,1.9,59.4,99.5,1,12.1,49.0,22.0,86.1,76.8,81.0,18.0,4.8,
british-virgin-islands,,74.0,"31,305",0.6,128,,,,,,,,,24.1,100.0,,,,8.0,,,78.0,,,
brunei-darussalam,,75.0,"449,002",0.8,-192,0.6,16.68,"37,152.50",-1.6,7.2,3.7,0.0,21.7,72.1,100.0,1,0.0,,0.0,,,98.0,9.0,1.5,
bulgaria,0.2,72.0,"6,465,097",-6.2,"-8,716",0.6,89,"13,772.50",3.4,4.4,15.3,2.3,4.9,35.9,99.8,24,6.4,72.0,1.0,32.8,82.3,75.0,24.0,3.6,
burkina-faso,30.5,59.0,"22,673,762",2.6,"-13,097",0.4,18.88,832.9,1.5,5.2,14.3,3.1,0.3,22.7,19.0,7,,,1.0,55.5,53.6,22.0,17.0,-0.4,
